Magnitude,Depth,destruction,Victim's reaction,Intensity
7.1,40,6,7,8
7.7,23.5,6,7,8
7.7,196,4,5,6
6.9,15,3,4,5
6.9,51.6,4,5,6
5.2,1,4,5,6
6.8,40,3,4,5
7.5,160,4,5,6
6.7,94,4,5,6
7,10,4,5,6
6.8,22.86,4,5,6
6.6,91.1,3,4,5
6.7,14,7,8,9
6.4,27,6,7,8
6.2,21,6,7,8
6.1,15,5,6,7
6.5,228.4,2,3,4
6.7,30.1,5,6,7
7.1,49,7,8,9
7.1,43.98,6,7,8
6,15,8,9,10
7.6,17,5,6,7
5.5,27,4,5,6
6.8,60,9,10,11
6.6,35,7,8,9
8.3,22.4,7,8,9
7.1,15,7,8,9
6.5,38,3,4,5
6.7,21,4,5,6
7.4,55,5,6,7
6.8,540,1,2,3
6,27,5,6,7
8.2,32.2,5,6,7
6.6,57,6,7,8
7.6,10,4,5,6
6.6,33,4,5,6
6.6,38,6,7,8
6.4,5,7,8,9
6.9,13,6,7,8
6.6,10,8,9,10
6.8,14,3,4,5
6.7,18,3,4,5
7,10,4,5,6
6.5,33,6,7,8
7,10,4,5,6
6.5,10,5,6,7
6.6,67.2,4,5,6
6.5,15,5,6,7
7.8,34,6,7,8
7.3,32,3,4,5
5,10,2,3,4
7.2,20,5,6,7
8.1,30,5,6,7
4.9,29,2,3,4
8.2,25,9,10,11
6.9,405.69,1,2,3
8,100,5,6,7
7,66,5,6,7
7.5,60,6,7,8
8.1,20,8,9,10
6.9,27,3,4,5
6.3,14,7,8,9
6.2,11,7,8,9
5.3,10,5,6,7
7.5,33,4,5,6
6.8,58,3,4,5
7,552.06,4,5,6
7.5,40,8,9,10
6.9,20,3,4,5
6.5,16,2,3,4
7.3,170,4,5,6
7.1,13,8,9,10
8,122.57,6,7,8
6.9,405.69,1,2,3
6.7,14,7,8,9
7.2,25,5,6,7
7.7,33,5,6,7
7.6,81,6,7,8
6,38,6,7,8
6.8,50,7,8,9
6.6,10,2,3,4
6.8,65,7,8,9
7.2,56,8,9,10
7.7,10,2,3,4
6.6,15,5,6,7
6.8,40.2,5,6,7
5.4,4,6,7,8
7.7,25,4,5,6
6.9,130,4,5,6
7.1,133,3,4,5
6.9,9.97,3,4,5
8.09,33,6,7,8
7.6,15,8,9,10
7.2,10,7,8,9
6.6,11,6,7,8
4.9,10,4,5,6
6.6,14,4,5,6
6.9,19.73,4,5,6
6.5,192.955,2,3,4
6.5,15,6,7,8
6.8,33,6,7,8
6.9,9,4,5,6
6.7,10,7,8,9
7.3,41,6,7,8
7.5,55,6,7,8
8.3,20,8,9,10
7.3,41,6,7,8
6.4,15,8,9,10
7.3,11,4,5,6
6.7,17,4,5,6
7.1,10,6,7,8
8,122.57,6,7,8
8.5,30,9,10,11
7.7,10,2,3,4
5.9,1,9,10,11
6.5,8,2,3,4
6.6,107,4,5,6
4.5,10,6,7,8
6.1,190,3,4,5
7.4,20,6,7,8
4.6,10,4,5,6
6.5,577,0,1,2
6.9,8,7,8,9
5.8,11,5,6,7
7.5,8.7,4,5,6
7.2,36,5,6,7
7,25,4,5,6
6,70,6,7,8
7,29,4,5,6
7.1,32.8,4,5,6
7.1,15,6,7,8
5,10,5,6,7
8.2,50,9,10,11
6.4,10,8,9,10
7.9,33,6,7,8
6.5,122,3,4,5
7.6,26,5,6,7
6.9,34,6,7,8
5.2,10,3,4,5
5.8,45,4,5,6
4.7,10,4,5,6
7.9,33,4,5,6
6.8,10,7,8,9
6.5,33,4,5,6
7,12,6,7,8
5.6,18,6,7,8
6.3,34,5,6,7
6.9,56.6,3,4,5
6.6,33,6,7,8
7,13,7,8,9
5.2,9,7,8,9
6.9,4,6,7,8
6.6,134.7,3,4,5
6,10,7,8,9
6.6,598.467,0,1,2
6.2,4,7,8,9
7.9,33,4,5,6
7.3,15,5,6,7
8.2,25.1,4,5,6
5.2,21,6,7,8
4.5,27,5,6,7
6.8,13.7,4,5,6
6.6,31,3,4,5
7,22.065,3,4,5
7.7,33,7,8,9
6.3,21,6,7,8
6.5,41,4,5,6
8.2,25,6,7,8
4.4,16,5,6,7
5.4,6,4,5,6
6.9,29.95,5,6,7
7.3,21,3,4,5
6.7,12,2,3,4
6.6,33,4,5,6
7,10,3,4,5
7.8,47,6,7,8
7.1,15,6,7,8
5.2,49,5,6,7
8,55,5,6,7
6.1,32,5,6,7
7.6,10,5,6,7
6.8,20,5,6,7
6.3,33,7,8,9
6.8,15.46,4,5,6
6.8,35,5,6,7
6.9,12,4,5,6
4.8,10,3,4,5
6.7,17,4,5,6
7,32,3,4,5
5,5,6,7,8
7.9,48,4,5,6
7.2,20,5,6,7
7.3,33,5,6,7
6,13,6,7,8
7.7,10,6,7,8
7,14,5,6,7
7.8,40.5,6,7,8
7,552.06,4,5,6
8.09,33,6,7,8
7.5,55,6,7,8
6.9,10,5,6,7
6.7,21,4,5,6
7.6,10,7,8,9
6.2,12,7,8,9
6.7,12,5,6,7
6.9,33,3,4,5
8,25,7,8,9
6.2,6,4,5,6
6.7,20,5,6,7
7.6,22.56,5,6,7
6.7,24,4,5,6
6.5,9,8,9,10
7.8,69,6,7,8
7.3,10,8,9,10
6.8,33,5,6,7
6.9,9,4,5,6
5.9,16,6,7,8
6.5,10,5,6,7
7.6,35,5,6,7
6.5,8.2,5,6,7
7.7,17,5,6,7
7.3,212,4,5,6
6.2,6,4,5,6
6.8,5,2,3,4
6.8,35,5,6,7
7.9,35,5,6,7
7,24.4,5,6,7
5.7,18,5,6,7
6.5,20,5,6,7
7.4,20,6,7,8
5.4,10,2,3,4
6.9,10,1,2,3
6.5,10,5,6,7
7.1,42,6,7,8
5.9,33,6,7,8
6.9,29.95,5,6,7
6.8,476,1,2,3
6.3,16,7,8,9
5.2,10,5,6,7
6.4,20,3,4,5
6.8,21,3,4,5
6.7,18,7,8,9
7.2,25,5,6,7
7.2,28,5,6,7
4,3,5,6,7
6.6,624.464,0,1,2
7.4,31.1,5,6,7
7.4,33,5,6,7
6.6,53,3,4,5
7.8,43.3,6,7,8
6.7,10,5,6,7
6.2,6,4,5,6
6.1,15,7,8,9
7.5,22,3,4,5
6.8,96,4,5,6
7.3,41,6,7,8
6.7,19,4,5,6
7.7,25,4,5,6
6.6,25,4,5,6
6.5,105,3,4,5
7.3,385.5,2,3,4
7.3,22,7,8,9
6.6,33,6,7,8
6.6,9.45,3,4,5
6.5,20,3,4,5
7.1,292,2,3,4
6.5,37,4,5,6
7,20,6,7,8
6.7,20,4,5,6
6,15,7,8,9
6.6,26,5,6,7
6.9,28.42,3,4,5
5.8,22,5,6,7
7.5,33,5,6,7
4.9,33,4,5,6
6.9,15,7,8,9
7.6,35,5,6,7
6.4,23,6,7,8
7.4,20,6,7,8
6.8,39,3,4,5
5.8,16,6,7,8
5.5,10,5,6,7
7.3,63,7,8,9
6.7,62,5,6,7
6.8,26,5,6,7
6.5,29,6,7,8
6.1,19,4,5,6
7.7,33,5,6,7
6.7,15,9,10,11
6.6,23,3,4,5
7.9,24,6,7,8
7.3,16,3,4,5
6.6,27,3,4,5
6.1,9,2,3,4
6.6,19,4,5,6
6.8,36,4,5,6
6.5,17,5,6,7
7,37,4,5,6
5.1,26,6,7,8
6.8,33,4,5,6
6.9,10,5,6,7
7.1,43,4,5,6
5.9,70,6,7,8
6.1,15,5,6,7
6.5,27,5,6,7
6.7,11,6,7,8
6.1,18,6,7,8
7.3,26.3,5,6,7
7.6,40,8,9,10
6.6,56,4,5,6
6.6,10,5,6,7
6.8,26,5,6,7
7.1,201.7,3,4,5
7.6,13,5,6,7
6.9,15,7,8,9
7.4,20,5,6,7
7.2,68,5,6,7
6.5,192.955,2,3,4
6.6,35,7,8,9
6.5,7,8,9,10
7.1,18,4,5,6
6.8,46,5,6,7
7.3,120,8,9,10
6.5,43,4,5,6
6.3,17,6,7,8
6.8,15.46,4,5,6
7.9,33,4,5,6
7.8,30,5,6,7
5.4,10,2,3,4
6.5,8,7,8,9
6.6,11,6,7,8
5.9,16,7,8,9
7,25,7,8,9
6.5,10,4,5,6
7.1,28,4,5,6
7.5,15,8,9,10
6.8,20,7,8,9
6.3,79,5,6,7
7.5,115,5,6,7
7.3,25,5,6,7
6.9,6.43,5,6,7
8,39,6,7,8
6.7,624,1,2,3
7.4,173.7,4,5,6
6.7,22,2,3,4
6.8,150,3,4,5
6.6,9,5,6,7
5.5,54,3,4,5
5,24,6,7,8
6.7,12,5,6,7
6.5,460,2,3,4
7.8,15,9,10,11
7.6,17,7,8,9
5.9,13,5,6,7
6.6,9,6,7,8
7.3,10,7,8,9
6.9,9,4,5,6
5.7,10,5,6,7
6.4,29,3,4,5
8.2,47.4,7,8,9
6.9,30,5,6,7
7,60.21,3,4,5
6.7,27.4,4,5,6
6.6,33,5,6,7
8.2,25.1,4,5,6
7,24,5,6,7
6.6,11,6,7,8
9.1,29,6,7,8
6.6,9,6,7,8
6.5,187,2,3,4
7.7,14.86,4,5,6
6.5,9,5,6,7
6.5,37,4,5,6
6.6,10,5,6,7
5.8,45,4,5,6
7.5,18,5,6,7
6.7,21,4,5,6
9.1,29,7,8,9
6.7,17.4,4,5,6
7.3,24,3,4,5
7.8,17.925,7,8,9
7.6,89,5,6,7
6.8,147,4,5,6
7.5,30,7,8,9
8.5,70,9,10,11
6.6,10,7,8,9
6.5,10,5,6,7
6.4,15,6,7,8
7.4,225.6,3,4,5
4.5,10,0,1,2
5.7,5,7,8,9
7,9,3,4,5
7.1,38,7,8,9
7.7,15,6,7,8
7.9,50,8,9,10
5.3,10,6,7,8
6.7,15,7,8,9
7.1,18,7,8,9
6.5,43,4,5,6
6,10,5,6,7
6.6,11,6,7,8
6.5,20,5,6,7
6.7,20.49,5,6,7
6.6,35,7,8,9
7.6,15,6,7,8
6.9,10,1,2,3
6.7,12,2,3,4
6.8,10,3,4,5
7.8,25,8,9,10
6.6,29,5,6,7
7.2,236,3,4,5
6.4,27,6,7,8
5.6,12,6,7,8
5.6,18,6,7,8
6.8,33,5,6,7
7.6,26.943,6,7,8
6,15,7,8,9
7.3,63,7,8,9
6.5,29,8,9,10
7.5,47.23,4,5,6
6.7,12,3,4,5
7.4,24,5,6,7
