Magnitude,Depth,destruction,Victim's reaction,Intensity
6.5,576,0,0,1
6.6,624.464,0,1,2
6.5,622.73,0,1,2
6.6,533.76,0,1,2
6.5,577,0,1,2
7.5,15,0,1,1
7.5,390,0,1,1
7,579,1,2,3
7,660,1,2,3
6.8,630.379,1,2,3
6.8,535,1,2,3
6.5,37,1,2,3
6.5,37,1,2,3
6.9,535,1,2,3
6.6,7,1,2,3
6.7,10,1,2,3
6.9,10,1,2,3
6.9,624,1,2,3
6.6,591,1,2,3
6.7,13,1,2,3
6.8,570.41,1,2,3
6.8,540,1,2,3
6.7,461,1,2,3
6.7,550,1,2,3
7.1,630,1,2,3
6.5,529,1,2,3
6.8,559,1,2,3
6.7,553.81,1,2,3
6.9,414.5,1,2,3
6.5,595.98,1,2,3
7.3,627.17,1,2,3
6.6,614,1,2,3
6.9,596.4,1,2,3
6.8,476,1,2,3
6.9,405.69,1,2,3
7.8,24,1,2,3
6.7,602.75,1,2,3
7.8,664,1,2,3
6.6,614,1,2,3
6.5,44.26,1,2,3
6.7,573,1,2,3
6.5,402,1,2,3
6.7,624,1,2,3
6.8,602.2,1,2,3
7.6,578,1,2,3
6.9,28,1,2,3
7.1,525,1,2,3
6.9,25,2,3,4
7,10,2,3,4
6.9,10,2,3,4
6.5,8,2,3,4
6.7,33,2,3,4
6.7,33,2,3,4
6.6,12,2,3,4
7.3,527,2,3,4
7.1,6,2,3,4
6.9,16.7,2,3,4
6.9,33.3,2,3,4
6.9,20.74,2,3,4
6.5,25,2,3,4
6.7,11,2,3,4
6.5,246,2,3,4
6.5,301,2,3,4
6.5,24,2,3,4
7.7,10,2,3,4
6.9,26,2,3,4
6.8,22,2,3,4
6.6,165,2,3,4
6.6,10,2,3,4
6.6,16,2,3,4
6.6,181,2,3,4
7,267,2,3,4
6.6,35,2,3,4
6.6,43.21,2,3,4
6.6,10,2,3,4
6.7,10,2,3,4
6.5,10,2,3,4
6.8,10,2,3,4
6.5,10,2,3,4
6.5,17,2,3,4
6.5,20,2,3,4
6.9,115,2,3,4
7.9,670.81,2,3,4
8.2,600,2,3,4
7.9,14.06,2,3,4
6.7,24,2,3,4
6.6,10,2,3,4
6.8,5,2,3,4
6.5,15,2,3,4
6.9,12,2,3,4
6.6,8.45,2,3,4
6.9,10,2,3,4
6.6,212,2,3,4
6.6,10,2,3,4
7.6,620.56,2,3,4
6.7,12,2,3,4
6.6,10,2,3,4
6.5,20,2,3,4
6.5,460,2,3,4
6.9,11.19,2,3,4
6.8,11,2,3,4
6.8,219.96,2,3,4
6.5,8,2,3,4
6.7,22,2,3,4
6.9,13,2,3,4
6.5,20,2,3,4
6.5,20,2,3,4
6.5,14.83,2,3,4
6.5,187,2,3,4
6.5,371,2,3,4
7.1,35,2,3,4
6.5,41.54,2,3,4
7.3,385.5,2,3,4
6.7,9,2,3,4
6.7,200.7,2,3,4
7.7,583.2,2,3,4
7.2,19,2,3,4
6.5,6.8,2,3,4
7.7,18.6,2,3,4
6.5,220,2,3,4
6.5,176,2,3,4
7.3,595,2,3,4
7.1,292,2,3,4
6.6,204.8,2,3,4
6.8,350.4,2,3,4
7.2,16,2,3,4
6.7,206.3,2,3,4
6.6,27.8,2,3,4
6.7,10,2,3,4
6.6,10,2,3,4
6.5,228.4,2,3,4
6.6,187.1,2,3,4
7.3,10,2,3,4
6.5,30,2,3,4
7.8,626.2,2,3,4
7.6,612.2,2,3,4
8,644.8,2,3,4
5.6,217,2,3,4
5,10,2,3,4
6.8,13,2,3,4
6.3,31,2,3,4
7.3,37,3,4,5
7,137,3,4,5
7.2,236,3,4,5
